thiNksmaRt Library Books Catalog,,,,,,,
CIVILS,,,,,,,
TSBN,ISBN,Card No.,Book Title,Author,Publication,Edition/Part,Copies
IIT021,9780387511293,249,Organic Chemistry Jee (adv) part 2,k S warma,cengage,,
IIT022,9780387511293,250,DPP Organic Chemistry,k S warma,cengage,,
IIT023,9789387511262,251,Inorganic Chemisrty JEE (adv) part 1,k S warma,cengage,,
IIT024,9789387511262,252,DPP Inorganic Chemisrty JEE (adv) part 1,k S warma,cengage,,
IIT025,9789387511255,253,Mathematics Jee (adv)Vectors & 3d Geometry,G.tewani,cengage,,
IIT026,9789387511255,254,DPPMathematics Jee (adv)Vectors & 3d Geometry,G.tewani,cengage,,
IIT027,9789387511217,255,Algebra,G.tewani,cengage,,
IIT028,9789387511217,256,DPP Algebra,G.tewani,cengage,,
IIT029,9780387511194,257,Physics JEE (adv)Optics & Modern Physics,BM Sharma,cengage,,2
IIT030,9780387511194,258,DPP Physics JEE (adv)Optics & Modern Physics,BM Sharma,cengage,C2,2
IIT031,9789387511156,259,Physics JEE (adv)Electo statistics and current electricity,BM Sharma,cengage,,
IIT032,9789387511156,260,DPP Physics JEE (adv)Electo statistics and current electricity,BM Sharma,cengage,,
IIT033,9789387511187,261,Physics JEE (adv)Mechanics II,BM Sharma,cengage,,
IIT034,9789387511187,262,DPP Physics JEE (adv)Mechanics II,BM Sharma,cengage,,
IIT035,9789387994447,265,Objective Mathematics for JEE,G Tewani,Cengage,,
IIT036,9789332543713,266,Fundamentals of Mathematics for JEE main and advanced coordinate geometry,Sanjay Mishra,Pearson,,
IIT037,9788131793534,267,University Physics for JEE Vol II,Hugh D Young,Pearson,13,
IIT038,9789332543881,268,University Physics for JEE Vol I,Hugh D Young,Pearson,13,
IIT039,9789332543751,269,Fundamentals of Mathematics for JEE main and advanced Algrba I,Sanjay Mishra,Pearson,,
IIT040,9789332537828,270,Fundamentals of Mathematics for JEE main and advanced Algrba II,Sanjay Mishra,Pearson,,
IIT041,9789332570276,271,Fundamentals of Mathematics for JEE main and advanced Integrated Calculus,Sanjay Mishra,Pearson,,
IIT042,9789332537835,272,Fundamentals of Mathematics for JEE main and advanced Trignometry,Sanjay Mishra,Pearson,,
IIT043,9789332570269,273,Fundamentals of Mathematics for JEE main and advanced Differntial Caculus,Sanjay Mishra,Pearson,,
IIT044,9789332586413,274,A Complete Resource Book in Mathematics JEE MAIN 2018,Dinesh Khattar,Pearson,,
IIT045,9789332586390,275,A Complete Resource Book in Chemistry JEE MAIN 2018,A.K.  Singhal,Pearson,,
IIT046,9789332586406,276,A Complete Resource Book in Physics JEE MAIN 2018,Sanjeev Kumar,Pearson,,
IIT047,9788131532379,277,Objective Physics for JEE,BM Sharma,Pearson,,
IIT048,9788131532393,278,Objective Chemistry for JEE,Seema Saini,pearson,,
IIT049,9788131704813,279,Organic Chemistry,Robert Thorton,pearson,17,
IIT050,9789332578319,280,Solutions to Advanced Problems in Organic Chemistry,Akshay Choudary,pearson,,
IIT051,9789332575615,281,Advanced Problems in Organic Chemistry,Akshay Choudary,pearson,,
IIT052,9789332517561,282,Conceptual  in Organic Chemistry ,DK Singh,pearson,,
IIT053,9789332568723,283,Olympiad Mathematics,Vikash Tiwari,pearson,,
IIT054,9789332568716,284,Olympiad JEE Advanced Physics,Arvind Tiwari,pearson,,
IIT055,9789352866748,285,IIT Foundation Series Chemistry Class 8,,pearson,,
IIT056,9789352866731,286,IIT Foundation Series Chemistry Class 7,,pearson,,
IIT057,9789352866816,287,IIT Foundation Series Mathematics Class 7,,pearson,,
IIT058,9789352866823,288,IIT Foundation Series Mathematics Class 8,,pearson,,
IIT059,9789352866847,289,IIT Foundation Series Mathematics Class 10,,pearson,,
IIT060,9788131534410,290,16 Years Chapterwise Solutions for JEE Main (2002 to 2017),BM Sharma,Cengage,,
IIT061,9788121939614,291,IIT Foundation Mathematics Class 8,SK Gupta,S Chand,,
NEET,,,,,,,
NEET 001,9789332586215,292,Objective Biology for NEET,Dr. Rajiv Vijay,Pearson,,
NEET 002,9789332586192,293,objective Physics for NEET,Abhay Kumar,Pearson,,
NEET 003,9789332586208,294,Objective Chemistry for NEET Vol I,A.K. Singhal,Pearson,,
NEET 004,9789332586222,295,Objective Chemistry for NEET Vol II,A.K. Singhal,Pearson,,
NEET 005,9788131532607,296,21 Test Papers for NEET,,Cengage,,
NEET 006,9789386858672,297,Crash course in chemistry for NEET ,,Cengage,,
NEET 007,9789386858689,298,Crash course in physics for NEET ,,Cengage,,
NEET 008,9789387994720,299,Objective Bio NEET Class XI,Hariom Gangwar,Cengage,,
NEET 009,9789387994836,300,A to Z physics for NEET Class XII,,Cengage,,
NEET 010,9789387994768,301,Objective Physics for NEET Class XI,B.M. Sharma,Cengage,,
NEET 011,9789387994775,302,Objective Physics for NEET Class XII,B.M. Sharma,Cengage,,
NEET 012,9789387995737,303,Objective Bio NEET Class XII,Hariom Gangwar,Cengage,,
NEET 013,9789387994751,304,Objective Chemistry for NEET Class XII,Seema Saini,Cengage,,
NEET 014,9789387994782,305,A to Z Biology for NEET Class XI,,Cengage,,
NEET 015,9789387994799,306,A to Z Biology for NEET Class XII,,Cengage,,
NEET 016,9789387994814,307,A to Z Chemistry for NEET Class XII,,Cengage,,
NEET 017,9789387994829,308,A to Z physics for NEET Class XI,,Cengage,,
NEET 018,9789387994119,309,Chemistry NEET for everyone Part I,R Sharma,Cengage,,
NEET 019,9789387994133,310,Physics NEET for everyone Part I,C.P. Singh,Cengage,,
NEET 020,9789387994140,311,Physics NEET for everyone Part II,C.P. Singh,Cengage,,
NEET 021,9789387994744,312,Objective Chemistry for NEET Class XI,Seema Saini,Cengage,,
NEET 022,9789387994157,313,Biology NEET for everyone Part I,A Tripathi,Cengage,,
NEET 023,9789387994164,314,Biology NEET for everyone Part II,A Tripathi,Cengage,,
NEET 024,9789387994805,315,A to Z Chemistry for NEET Class XI,,Cengage,,
GENERAL,,,,,,,
GEN001,8179304825,169,Gandhi Nehru Tagore,,Spectrum,,
GEN002,9780553176988,170,A Brief History Of Time,Stephen Hawking,Bantham,,
GEN003,9780143030225,171,The Burden of Democracy,pratap Bhanu,Penguin,,
GEN004,1840468533,172,Philosophy a graphic Guide,Dav Robbin son,Gutenberg Press,,
GEN005,9788184001631,173,day to day economics,IIM-A,Random House,,
GEN006,978184001389,174,Being Ethical,IIM-A,Random House,,
GEN007,9788123753607,175,Communalism,Bipin Chandra,NBT,,
GEN008,9788123709697,176,Lokamanya Tilak,GP Pradhan,NBT,,
GEN009,9788123736815,177,Tribal Life in india,Nirmal Kumar Bose,NBT,,
